Date,sero,daily_death_NorthEast,sero_lower,sero_upper
2020/1/1,,0,,
2020/1/2,,0,,
2020/1/3,,0,,
2020/1/4,,0,,
2020/1/5,,0,,
2020/1/6,,0,,
2020/1/7,,0,,
2020/1/8,,0,,
2020/1/9,,0,,
2020/1/10,,0,,
2020/1/11,,0,,
2020/1/12,,0,,
2020/1/13,,0,,
2020/1/14,,0,,
2020/1/15,,0,,
2020/1/16,,0,,
2020/1/17,,0,,
2020/1/18,,0,,
2020/1/19,,0,,
2020/1/20,,0,,
2020/1/21,,0,,
2020/1/22,,0,,
2020/1/23,,0,,
2020/1/24,,0,,
2020/1/25,,0,,
2020/1/26,,0,,
2020/1/27,,0,,
2020/1/28,,0,,
2020/1/29,,0,,
2020/1/30,,0,,
2020/1/31,,0,,
2020/2/1,,0,,
2020/2/2,,0,,
2020/2/3,,0,,
2020/2/4,,0,,
2020/2/5,,0,,
2020/2/6,,0,,
2020/2/7,,0,,
2020/2/8,,0,,
2020/2/9,,0,,
2020/2/10,,0,,
2020/2/11,,0,,
2020/2/12,,0,,
2020/2/13,,0,,
2020/2/14,,0,,
2020/2/15,,0,,
2020/2/16,,0,,
2020/2/17,,0,,
2020/2/18,,0,,
2020/2/19,,0,,
2020/2/20,,0,,
2020/2/21,,0,,
2020/2/22,,0,,
2020/2/23,,0,,
2020/2/24,,0,,
2020/2/25,,0,,
2020/2/26,,0,,
2020/2/27,,0,,
2020/2/28,,0,,
2020/2/29,,0,,
2020/3/1,,0,,
2020/3/2,,0,,
2020/3/3,,0,,
2020/3/4,,0,,
2020/3/5,,0,,
2020/3/6,,0,,
2020/3/7,,0,,
2020/3/8,,0,,
2020/3/9,,0,,
2020/3/10,,0,,
2020/3/11,,0,,
2020/3/12,,0,,
2020/3/13,,0,,
2020/3/14,,0,,
2020/3/15,,1,,
2020/3/16,,0,,
2020/3/17,,0,,
2020/3/18,,0,,
2020/3/19,,0,,
2020/3/20,,3,,
2020/3/21,,3,,
2020/3/22,,6,,
2020/3/23,,4,,
2020/3/24,,2,,
2020/3/25,,6,,
2020/3/26,,8,,
2020/3/27,,13,,
2020/3/28,,11,,
2020/3/29,,9,,
2020/3/30,,36,,
2020/3/31,,30,,
2020/4/1,,36,,
2020/4/2,,41,,
2020/4/3,,56,,
2020/4/4,,47,,
2020/4/5,,51,,
2020/4/6,,58,,
2020/4/7,,54,,
2020/4/8,,59,,
2020/4/9,,63,,
